epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,4002.44,0.37856,0.53666,0.25126,0.83835,0.94792,0.91108,0.9642,0.84852,0.94907,0.90711,0.95965,0.80794,0.52935,0.83585,0.30199,0.885,0.00890339,0.00890339,0.00890339
110,4039.04,0.37709,0.53331,0.25007,0.83772,0.94788,0.9102,0.9644,0.84897,0.9491,0.907,0.95992,0.80859,0.5295,0.83713,0.30174,0.8846,0.00888379,0.00888379,0.00888379
111,4075.76,0.3742,0.52687,0.24872,0.83841,0.94757,0.91102,0.9644,0.84915,0.94687,0.90942,0.95978,0.80861,0.52932,0.83446,0.30167,0.88503,0.00886404,0.00886404,0.00886404
112,4112.39,0.37641,0.53235,0.24948,0.8385,0.94718,0.91112,0.96438,0.84946,0.94712,0.90952,0.9605,0.80907,0.52896,0.83376,0.30126,0.88488,0.00884414,0.00884414,0.00884414
113,4148.87,0.37542,0.53312,0.24941,0.83808,0.94769,0.91105,0.96461,0.84985,0.94902,0.9083,0.96047,0.80904,0.52906,0.83374,0.30117,0.885,0.00882409,0.00882409,0.00882409
114,4185.39,0.37363,0.52864,0.24974,0.83782,0.94817,0.91073,0.96436,0.84963,0.95003,0.90682,0.96041,0.80886,0.5293,0.83521,0.30115,0.88538,0.00880389,0.00880389,0.00880389
115,4221.55,0.37366,0.53093,0.24742,0.83764,0.94834,0.9107,0.96459,0.84999,0.94774,0.90871,0.96071,0.80902,0.52907,0.83534,0.30064,0.8853,0.00878354,0.00878354,0.00878354
116,4257.85,0.37373,0.52615,0.24834,0.83695,0.94737,0.91151,0.96471,0.85005,0.94797,0.90901,0.96111,0.80979,0.52876,0.83425,0.30042,0.88518,0.00876305,0.00876305,0.00876305
117,4294.26,0.37271,0.52669,0.24777,0.83796,0.94739,0.91159,0.96497,0.85011,0.94681,0.90945,0.96103,0.81005,0.52845,0.83388,0.30011,0.88493,0.00874241,0.00874241,0.00874241
118,4330.74,0.37223,0.5263,0.24711,0.83841,0.94742,0.91125,0.96481,0.84978,0.94714,0.9091,0.96055,0.80991,0.52883,0.83428,0.30022,0.88528,0.00872162,0.00872162,0.00872162
119,4366.87,0.37032,0.52581,0.24691,0.8366,0.94678,0.91105,0.96461,0.84996,0.94696,0.90889,0.96055,0.80972,0.5286,0.83395,0.30005,0.88525,0.00870069,0.00870069,0.00870069
